,ParcelID,Hem,Surface area (mm2),Centroid (MNI),Community,x,y,z,ParcelID_sorted
80,81,L,114.4808,-36.6 1.4 6.4,CinguloOperc,-36.6,1.4,6.4,24
75,76,L,405.8736,-37.7 2.9 11.7,CinguloOperc,-37.7,2.9,11.7,25
111,112,L,375.4921,-48.6 7.5 11.1,CinguloOperc,-48.6,7.5,11.1,26
81,82,L,96.9825,-37.3 8.9 -0.9,CinguloOperc,-37.3,8.9,-0.9,27
26,27,L,293.0499,-8.4 14.6 33.8,CinguloOperc,-8.4,14.6,33.8,28
83,84,L,420.8512,-28.8 23.7 8.4,CinguloOperc,-28.8,23.7,8.4,29
27,28,L,67.6222,-9 25.3 27.7,CinguloOperc,-9.0,25.3,27.7,30
152,153,L,162.4348,-28.8 38.3 28.2,CinguloOperc,-28.8,38.3,28.2,31
146,147,L,55.3071,-26.6 46.8 20.9,CinguloOperc,-26.6,46.8,20.9,32
92,93,L,214.9129,-10.9 -73.4 42.9,CinguloParietal,-10.9,-73.4,42.9,33
88,89,L,118.0988,-12.7 -64.9 31.8,CinguloParietal,-12.7,-64.9,31.8,34
11,12,L,134.183,-6.1 -26 28.5,CinguloParietal,-6.1,-26.0,28.5,35
93,94,L,485.8351,-39.3 -73.9 38.3,Default,-39.3,-73.9,38.3,36
5,6,L,1083.6667,-47.2 -58 30.8,Default,-47.2,-58.0,30.8,37
0,1,L,1411.6436,-11.2 -52.4 36.5,Default,-11.2,-52.4,36.5,38
125,126,L,141.899,-63.2 -28.7 -7.2,Default,-63.2,-28.7,-7.2,39
25,26,L,121.3918,-1.7 -17.7 39.1,Default,-1.7,-17.7,39.1,40
126,127,L,776.4789,-53.1 -11.4 -16,Default,-53.1,-11.4,-16.0,41
156,157,L,351.7286,-41.7 16.1 47.5,Default,-41.7,16.1,47.5,42
155,156,L,139.2005,-29.3 16.8 50.7,Default,-29.3,16.8,50.7,43
153,154,L,104.9614,-26.2 26.6 38.8,Default,-26.2,26.6,38.8,44
3,4,L,368.6362,-11.7 26.7 57,Default,-11.7,26.7,57.0,45
43,44,L,518.7352,-19.5 30.1 45.5,Default,-19.5,30.1,45.5,46
